TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,truncate.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
2.1,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
2.4,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
2.7,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
3,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
3.3,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
3.6,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
3.9,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
4.2,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
4.4,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
4.7,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
5,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
5.3,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
5.5,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
5.8,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
6.1,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
6.4,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
6.6,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
6.9,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
7.2,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
7.5,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
7.7,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
8,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
8.3,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
8.5,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
8.8,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
9.1,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
9.3,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
9.6,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
9.9,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
10.2,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
10.4,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
10.7,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
11,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
11.3,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
11.6,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
11.9,truncate.js,20,34,58.82,1,20,100,0,0,20,NaN,48,45,65.75
