TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,CountingSort.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.9,CountingSort.js,6,12,50,2,7,66.67,0,0,6,NaN,24,22,60
2.5,CountingSort.js,6,12,50,2,7,66.67,0,0,6,NaN,24,22,60
2.9,CountingSort.js,9,12,75,3,9,100,0,0,9,NaN,36,13,90
3.4,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
3.8,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
4.3,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
4.7,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
5.1,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
5.6,CountingSort.js,10,12,83.33,3,10,100,0,0,10,NaN,37,13,92.5
6.1,CountingSort.js,11,12,91.67,3,11,100,0,0,11,NaN,39,12,97.5
