TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,check-overflow.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.6,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
3.3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
3.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
4,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
4.3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
4.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
5,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
5.4,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
5.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
6,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
6.4,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
6.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
7.4,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
7.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
8,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
8.3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
8.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
9,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
9.3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
9.6,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
9.9,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
10.2,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
10.6,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
10.9,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
11.2,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
11.5,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
11.8,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
12.1,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
12.5,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
12.8,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
13.1,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
13.5,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
13.8,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
14.1,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
14.4,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
14.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
15,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
15.3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
15.7,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
16,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
16.3,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
16.6,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
16.9,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
17.2,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
17.5,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
17.9,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
18.2,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
18.5,check-overflow.js,12,20,60,1,12,100,0,0,12,NaN,21,23,65.63
