TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.6,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.1,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.4,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
4.2,articulationPoints.js,1,12,8.33,3,5,42.86,0,0,1,NaN,16,32,34.04
0,bellmanFord.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.4,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
0.7,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.3,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.6,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
1.8,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
2.2,bellmanFord.js,0,6,0,1,3,25,0,0,0,NaN,5,23,17.86
2.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
3.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
4.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
4.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
5.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
5.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
6.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
6.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
7.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
7.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
8.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
8.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
9.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
9.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
10,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
10.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
10.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
11.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
11.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
12.3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
12.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
13.3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
13.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
14.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
14.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
15.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
15.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
16,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
16.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
17.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
17.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
18,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
19,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
19.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
19.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
20.3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
20.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
21.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
21.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
22.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
23,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
23.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
24,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
24.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
24.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
25.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
25.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
26.3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
